source,target
77,78
78,79
79,80
80,64
80,81
81,34
81,42
79,82
82,83
83,84
84,7
84,59
83,85
85,19
85,60
82,86
86,87
87,30
87,88
88,25
88,57
86,89
89,90
90,14
90,27
89,91
91,9
91,63
78,92
92,93
93,32
93,94
94,50
94,67
92,95
95,96
96,97
97,98
98,10
98,43
97,99
99,100
100,101
101,22
101,26
100,102
102,103
103,17
103,53
102,104
104,3
104,55
99,105
105,106
106,76
106,107
107,0
107,38
105,108
108,109
109,58
109,66
108,110
110,45
110,71
96,111
111,29
111,112
112,113
113,114
114,13
114,21
113,115
115,8
115,18
112,116
116,117
117,33
117,72
116,118
118,28
118,75
95,119
119,39
119,120
120,11
120,51
77,121
121,122
122,123
123,20
123,65
122,124
124,49
124,125
125,40
125,126
126,127
127,23
127,62
126,128
128,24
128,129
129,73
129,130
130,37
130,131
131,54
131,70
121,132
132,133
133,134
134,135
135,47
135,136
136,12
136,15
134,137
137,138
138,48
138,139
139,2
139,69
137,140
140,16
140,141
141,56
141,142
142,36
142,44
133,143
143,6
143,144
144,145
145,35
145,68
144,146
146,4
146,5
132,147
147,148
148,31
148,52
147,149
149,150
150,46
150,61
149,151
151,1
151,152
152,41
152,74
