"Name of tips","Number of mutations"
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1102_10464_15410_3",7
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1104_17487_15911_5",3
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1104_22146_15296_4",2
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1105_16811_19317_3",4
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1105_21937_14634_3",2
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1105_22155_4792_3",4
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1105_23332_20362_2",15
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1105_27810_9722_3",4
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1106_22498_10784_2",3
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1106_8545_14651_5",4
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1108_13430_15722_2",10
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1108_15029_7598_7",2
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1108_16393_17742_3",6
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1109_11864_15445_3",4
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1110_13520_5497_3",8
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1110_17383_10362_3",2
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1111_16795_7748_7",5
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1111_20546_16868_3",2
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1111_20920_18752_3",15
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1112_11369_13061_2",4
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1112_14978_11763_2",5
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1112_8832_12682_3",6
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1113_13377_20682_2",4
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1113_17994_10627_5",4
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1113_7852_15126_4",5
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1114_10504_5822_2",11
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1115_11296_14246_5",3
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1115_4036_15553_3",6
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1116_14260_16151_3",5
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1116_15341_14152_5",1
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1116_17866_18151_3",7
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1116_5935_13250_3",6
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1117_21840_16078_4",9
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1117_9206_8628_3",7
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1118_11943_20003_6",5
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1118_14461_13519_2",2
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1118_18326_16450_2",2
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_1119_17341_12499_5",4
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2102_11914_16905_2",6
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2103_14457_11261_4",2
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2103_6424_10933_2",2
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2104_11445_6192_2",5
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2104_22917_17931_3",3
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2105_17493_19295_2",3
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2105_6750_12737_2",7
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2106_16324_16647_4",2
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2106_17292_17319_5",4
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2106_17961_13343_6",3
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2106_28610_8813_4",15
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2106_8062_8968_2",2
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2107_11349_11756_2",2
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2108_10645_19947_2",7
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2108_12482_14949_3",4
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2109_17929_17276_2",6
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2109_23230_18080_4",5
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2109_7204_15748_5",8
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2110_10103_4258_4",3
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2111_10456_19741_3",4
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2111_12442_17054_5",9
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2111_19026_8115_3",3
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2112_12798_10509_3",2
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2112_9124_20193_3",3
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2113_14630_5110_3",3
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2113_16213_6108_7",7
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2113_18508_12291_3",3
"M1Dl43_bc1_M04670_35_000000000-JJBBG_1_2114_15961_19204_3",8
