"Name of tips","Number of mutations"
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_10050_5916_14",14
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_10177_8797_27",6
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_10462_17612_10",15
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_10610_14830_4",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_10623_6979_7",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_10638_8274_3",12
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_10666_1705_13",15
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_10718_18263_4",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_10936_15585_5",8
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_11026_14184_12",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_11146_19564_11",18
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_11162_19187_17",20
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_11180_4797_3",16
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_11232_11143_23",15
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_11534_11142_3",21
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_11676_12783_30",19
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_11703_10976_9",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_11799_17739_15",7
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_11802_5633_3",9
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_11826_10803_3",5
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_11998_8414_4",9
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_12015_10786_14",12
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_12021_13828_5",19
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_12030_19002_3",9
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_12073_15105_24",3
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_12100_3794_17",12
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_12170_19747_3",15
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_12394_11913_3",20
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_12394_7530_20",9
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_12416_16499_3",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_12484_13575_5",4
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_12531_18070_4",12
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_12552_18717_5",14
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_12584_6241_3",13
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_12614_7687_5",8
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_12834_15057_21",9
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_12893_8449_7",9
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_12924_16564_8",17
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_12973_4301_15",22
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_12983_18302_11",9
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_13022_16662_13",8
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_13061_19117_9",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_13075_13178_22",8
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_13184_18295_10",8
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_13191_13297_4",4
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_13337_12368_23",8
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_13365_3806_30",3
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_13577_10718_13",8
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_13625_15415_3",9
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_13678_11171_27",19
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_13790_2601_3",7
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_13837_5301_3",9
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_13869_14566_5",18
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_13890_17450_3",23
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_14003_13384_3",4
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_14066_4737_4",15
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_14149_13124_17",12
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_14177_22303_18",9
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_14223_20912_4",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_14235_13334_17",12
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_14257_6164_27",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_14260_12919_4",6
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_14429_7980_15",13
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_14497_8343_11",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_14550_18153_11",12
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_14593_20707_6",5
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_14716_16587_7",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_14725_16336_28",22
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_14862_5062_28",8
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_14869_12670_18",13
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_14912_6095_10",19
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_14930_11756_4",9
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_14942_4184_21",5
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_14952_16857_16",13
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15016_21156_3",4
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15045_7786_7",20
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15150_1734_21",19
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15253_23270_16",17
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15273_3582_15",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15277_19635_5",3
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15377_2577_22",1
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15459_4895_19",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15559_22106_6",7
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15626_17672_3",16
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15636_21673_3",16
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15680_12082_3",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15716_2681_7",18
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15753_14334_16",12
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15804_12318_5",19
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15884_9806_12",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15932_7867_28",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_15976_4018_3",3
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_16070_11023_19",16
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_16113_19624_3",7
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_16187_12488_86",2
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_16218_13061_8",4
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_16350_14219_8",15
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_16377_6680_14",8
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_16586_2466_5",5
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_16622_10022_3",4
