Name of tips,Number of mutations
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_10431_6356_3,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_10606_18083_4,10
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_11199_17638_5,12
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_11356_13171_5,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_11800_2804_7,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_11977_14096_3,16
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_12719_15183_3,10
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_13195_18391_3,11
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_13356_15615_6,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_13443_8559_3,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_14273_17028_7,3
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_15094_8122_3,3
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_15298_5141_4,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_15581_11625_3,30
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_15934_11241_8,12
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_15967_15536_5,23
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_16217_18925_6,28
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_16959_8619_7,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_18804_3706_5,10
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_19094_15485_8,3
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_19410_12092_8,3
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_19850_14653_7,3
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_20892_16739_4,13
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_20907_8696_4,3
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_21133_8052_4,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_21963_14786_4,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_22581_19043_4,13
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_24632_12536_7,13
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_28159_16134_6,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_4515_16866_4,11
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_5929_11066_4,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_6205_21031_5,13
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_6977_11737_4,33
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_7226_8285_3,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_7464_10849_6,12
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_8317_17965_8,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_8562_18756_4,13
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_8742_4906_4,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_9248_14034_5,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1101_9634_19108_3,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_10141_9638_4,3
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_10228_16834_6,11
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_10254_17409_8,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_10719_18134_4,11
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_10863_14943_4,2
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_11317_7486_3,13
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_11349_8943_7,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_11644_11975_4,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_12172_11754_3,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_12465_11689_7,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_12520_13485_3,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_12589_13072_4,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_12805_9170_7,10
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_12882_7638_11,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_12986_21118_3,20
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_14827_18894_4,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_15079_7371_3,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_15151_15824_6,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_15697_11914_6,10
M3D3_bc1_M03320_18_000000000-JJCML_1_1102_15848_14659_4,10
