Name of tips,Number of mutations
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_11067_15950_5,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_11149_19028_3,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_11575_18387_2,10
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_12063_2533_3,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_12072_17934_5,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_12917_9251_4,7
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_13318_1288_10,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_13726_7291_3,7
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_14017_8203_4,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_14267_2509_4,7
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_14328_6995_5,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_14384_17771_5,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_14422_2316_3,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_14751_5997_6,7
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_14917_9315_10,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_15876_8669_3,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_16977_2296_3,7
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_17202_12824_4,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_17366_6632_5,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_17881_2414_3,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_18073_2058_3,11
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_18241_17422_2,13
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_18705_8010_8,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1101_18712_9655_4,3
